done	part of speech	phonemes	romanisation	definition	keywords	tags	gloss
TRUE	noun (inanimate)	ndãːw	ndáau	silver (element)	silver		
TRUE	noun (inanimate)	ndal	ndal	dairy-like food made of frothed plant oils and saps, used as sauce base and a mild condiment: cream, mayonnaise	dairy, oil, sap, condiment, cream, sauce, mayonnaise		
TRUE	adjective	ndal.se	ndalse	similar to ndal; emulsified, incorporated, homogeneous; (socially) united, agreed, focused	emulsified, incorporated, homogeneous, united, agreed, focused		
TRUE	verb (transitive)	ndal.se.dɾa	ndalsedra	emulsify, homogenise, incorporate; alloy	emulsify, homogenise, incorporate, alloy		
TRUE	noun (inanimate)	nde	nde	front side, near side, place in front of something (met first in direction of travel); before, earlier, ago	front, frontside, front side, near, nearside, near side, before, earlier, ago		
TRUE	noun (animate)	ndẽːɕ	ndéex	deprecated, used to mean "Nomai"			
TRUE	noun (inanimate)	ndẽɸ	ndéf	a type of low flowering plant with simply shaped leaves; (name) Pye	pye	names, plants	
TRUE	noun (animate)	ndẽj.teː	ndéitee	counterpart, equivalent in another similar social structure	counterpart, equivalent		
TRUE	verb (intransitive)	nde.mi	ndemi	almost do, nearly do, come close to, narrowly miss doing	almost, nearly, close to, miss		
TRUE	noun (inanimate)	ndiː	ndii	the past	past		
TRUE	noun (inanimate)	ndi.ɾiː	ndirii	large bowl for mixing or serving	bowl		
TRUE	noun (inanimate)	ndi.ɕẽ.løɾ	ndixélor	a type of evergreen hot-climate tree producing mildly toxic fruits; (name) Annona	annona	names, plants	
TRUE	verb (transitive)	ndø	ndo	frown at, show negative or reserved body language to	frown, reserved		
TRUE	verb (intransitive)	ndø.ɸaː	ndofaa	apologise, confess, declare intent to repair trust	apologise, apology, sorry, confess, repair		
TRUE	noun (inanimate)	ndø̃.jøː	ndójoo	seam, connection point	seam, connection		
TRUE	verb (intransitive)	ndø̃ːɬ	ndóohl	crawl, slither, move without discrete steps; flow, run (like liquid)	crawl, slither, flow, run		
TRUE	verb (intransitive)	ndø̃ːɬ.cel	ndóohlcel	breastfeed someone (literally 'cause to flow')	breastfeed		
TRUE	verb (intransitive)	ndyj	ndui	happen, occur, take effect; (of tangible entity) do its thing, be unleashed, be set loose on something	happen, occur, effect, loose, unleash		
TRUE	noun (inanimate)	ndyj.høɕ	nduihox	event, occurrence, incident, point in spacetime as identified by its downstream effects	event, occurrence, incident		
TRUE	verb (transitive)	ndyː	nduu	speak, say, communicate, express (prototype: say "friend" and enter)	speak, say, communicate, express		
TRUE	noun (inanimate)	ne	ne	the phoneme /n/ and the matching letter	/n/, n	letters	
TRUE	particle	nẽ	né	spoken equivalent to a colon or info-box under a header, as in "Update: We succeeded" (Left side takes a noun phrase that defines the message itself, right side takes a sentence. Noun phrase on left uses specific form to mark definiteness.)	colon, untranslatable		
TRUE	noun (inanimate)	nẽːl.dy.me	néeldume	make a pilgrimage, tour ceremonially, travel for a ritual	pilgrimage, tour, ceremony, ritual		
TRUE	noun (animate)	nẽɸ.hẽɸ	néfhéf	confidant, inner circle member, loved one	confidant, member, loved one		
TRUE	noun (inanimate)	nej	nei	the future	future		
TRUE	verb (transitive)	nẽll	néll	strain, encumber, stress	strain, encumber, stress		
TRUE	adjective	nel.ɕeː	nelxee	added, additional, further, increased	added, additional, further, increased		
TRUE	noun (inanimate)	ne.ma.ɾø̃	nemaró	line (geometry)	line, geometry		
TRUE	verb (intransitive)	nẽ.mbi	némbi	cope, manage, deal, weather; (archaic) deal with the wind, be sufficiently insulated or shielded, not be blown away	cope, manage, deal		
TRUE	verb (transitive)	nẽs.ɕə	nésxy	block, obstruct, stop (absolutive is a potentially moving entity)	block, obstruct, stop		
TRUE	adjective	ne.ʙẽː	nevée	absurd, surreal, dreamlike	absurd, surreal, dreamlike		
TRUE	noun (inanimate)	ni.cø	nico	stock, broth, infusion; tea, brew	stock, broth, infusion, tea, brew		
TRUE	verb (transitive)	nis	nis	(actively) smell, sniff; get familiar with	smell, sniff, get familiar		
TRUE	noun (inanimate)	ɲa	nna	the phoneme /ɲ/ and the matching letter	/ɲ/, ɲ, nn	letters	
TRUE	adjective	ɲaː	nnaa	scant, sparse, stunted, barren, poor in vegetation; (of number) low, small	scant, sparse, stunted, barren, low, small		
TRUE	adjective	ɲã.bə̃	nnábý	nice, polite, courteous (obeying Nomai social norms, chiefly by sharing and receiving information or enabling those acts)	nice, polite, courteous		
TRUE	noun (animate)	ɲa.‍ɸaj	nna‍fai	aunt (father's sister)	aunt	family	
TRUE	noun (animate)	ɲãj	nnái	gang, clique, informal gathering	gang, clique, gathering		
TRUE	verb (transitive)	ɲãj.lãs	nnáilás	trample, muddy up; use up, wear out; explore throughout; overstay one's welcome 	trample, muddy, muddy up, use, use up, wear, wear out		
TRUE	noun (inanimate)	ɲãʎ	nnáll	excrete, eliminate, emit, put out	excrete, eliminate, emit, put out		
TRUE	verb (intransitive)	ɲa‍.‍mø	nna‍‍mo	crouch, brace, hold on to something, secure oneself (early from wind, later from interruptions in artificial gravity)	crouch, brace, hold, hang, secure		
TRUE	noun (inanimate)	ɲã.mø̃.nẽ	nnámóné	smoothie, shake, sludge, thick semifluid food used to sustain Nomai through long experiments	smoothie, shake, sludge		
TRUE	noun (animate)	ɲas.ɲy	nnasnnu	cook, designated food preparer	cook		
TRUE	adjective	ɲã.ʙeː	nnávee	lukewarm, medium-temperature	lukewarm, temperature		
TRUE	verb (transitive)	ɲe.das.cəj	nnedascyi	depict, portray, {agent} be information about {experiencer}; {agent} pretend to be {experiencer}, act as	depict, portray, pretend, about, act, act as		
TRUE	noun (animate)	ɲeːw	nneeu	worm, slug, any of a diverse family of soft-bodied slithering creatures	worm, slug		
TRUE	adjective	ɲeː.ʙa	nneeva	beautiful, pleasing, satisfying	beautiful, pleasing, satisfying		
TRUE	verb (transitive)	ɲe.hẽ	nnehé	hit, headbutt, charge into	hit, headbutt, charge into		
TRUE	verb (transitive)	ɲej	nnei	help, save, rescue	help, save, rescue		
TRUE	verb (transitive)	ɲel	nnel	wear down, grind, abrade; grate	wear, wear down, grind, abrade, grate		
TRUE	verb (transitive)	ɲẽ.leɸ	nnélef	push, nudge, goad; hint, notify	push, nudge, goad, hint, notify		
TRUE	noun (animate)	ɲeʎ	nnell	(archaic) matriarch, queen, female chieftain; (biology) queen, only breeding adult; (slang) wise person (any gender); domineering person (any gender)	matriarch, queen, chief, chieftain		
TRUE	adjective	ɲel.ɲəl	nnelnnyl	slippery, slick, low-friction	slippery, slick, friction		
TRUE	noun (inanimate)	ɲel.sy	nnelsu	dry spot, dead grass, drought	dry, dead, grass, drought		
TRUE	noun (animate)	ɲe.ndə	nnendy	hero, saviour, champion	hero, saviour, champion		
TRUE	verb (transitive)	ɲe.ɾy	nneru	accompany, hang around, spend time in vicinity of	accompany, hang, hang around, spend		accompany
TRUE	noun (inanimate)	ɲe.ɾyl	nnerul	moon, companion celestial body, natural orbiter 	moon, orbiter		moon
TRUE	noun (inanimate)	ɲe.ɾə.ləs.ha.ɕiɾ	Nnerulyshaxir	(place name) Quantum Moon (compound of nnerul 'companion' + yshaxir 'indeterminate')	Quantum Moon	placenames	
TRUE	verb (transitive)	ɲes	nnes	drag, tow, pull; record, save, log; collect (data or artefacts)	drag, tow, pull, record, save, log, collect		
TRUE	noun (inanimate)	ɲẽ.sə̃ː	nnésýy	trunk, torso; (of furniture or structures) tabletop, shelf, flat horizontal space	trunk, torso, tabletop, shelf		
TRUE	adjective	ɲe.ʙa	nneva	(of plant) niche, endemic, only available in a small area; (metaphor) hard to obtain, unusually good quality	niche, endemic, rare, good, quality		
TRUE	noun (inanimate)	ɲẽ.wa	nnéwa	shoulder girdle, upper thorax, where the arms attach and everything in between	shoulder, shoulders, girdle, thorax, clavicle, clavicles		
TRUE	noun (animate)	ɲeɕ	nnex	clan	clan		
TRUE	numeral	ɲi	nni	two	two		
TRUE	adjective	ɲi.ca	nnica	light, unmassive, low-mass	light, unmassive, low-mass		
TRUE	noun (inanimate)	ɲi.hə̃	nnihý	path, walkway, trail, road (structure in the world)	path, walkway, trail, road		
TRUE	numeral	ɲiː	nnii	two (connective form)	two		
TRUE	noun (inanimate)	ɲiːl	nniil	daytime, daylit period	daytime, daylight		
TRUE	adjective	ɲi.ɲy	nninnu	cute, adorable, evoking a protective instinct	cute, adorable, sweet		
TRUE	adjective	ɲi.nø	nnino	medium-complexity, with average amount of components	complexity, complex		
TRUE	verb (transitive)	ɲi.we	nniwe	lead, govern, represent	lead, govern, represent		
TRUE	noun (inanimate)	ɲi.wẽl.dẽ	nniwéldé	a type of mildly pungent plant with many edible parts; (name) Brassica	brassica	names, plants	
TRUE	verb (transitive)	ɲø	nno	apply force to, push, pull, accelerate	force, push, pull, accelerate		
TRUE	verb (transitive)	ɲø.ca	nnoca	lay, put down; let go of, leave be; stop, quit (action, method)	lay, put down, let go, leave, leave be, let be, stop, quit		
TRUE	verb (intransitive)	ɲø̃.di	nnódi	soak, bathe, swim (exotic act - Nomai in space tend to ration water, even now)	soak, bathe, swim		
TRUE	verb (transitive)	ɲø̃.ɸø	nnófo	trust, treat as reliable (in some limited field or following instructions), be at ease depending on	trust, depend, rely, reliable		
TRUE	noun (animate)	ɲø̃ɬ	nnóhl	grandson	grandson		
TRUE	verb (intransitive)	ɲø̃.jø	nnójo	turn, change direction (prototype: at a corner of a zigzagging path)	turn, direction, zigzag, corner		
TRUE	noun (animate)	ɲø̃.law	nnólau	theorist, someone who deals with deep abstract symbols	theorist		
TRUE	conjunction (clause)	ɲø̃ː.he	nnóohe	like, in the same way that	like, same way, how		
TRUE	noun (inanimate)	ɲø̃ː.lẽɾ	nnóolér	robe, non-spacesuit garment, indoor wear	robe, garment, clothes, clothing		
TRUE	noun (inanimate)	ɲø̃ːs	nnóos	spring, geyser, any terrain feature that produces liquid; (when qualified) volcano	spring, geyser, volcano		
TRUE	noun (inanimate)	ɲø̃.pə	nnópy	mouth	mouth		
TRUE	adjective	ɲø̃.ɾø	nnóro	dense, thick, obstructive, hard to pass (land or vegetation)	dense, thick, obstruct, obstructive, difficult		
TRUE	verb (transitive)	ɲø̃.waj	nnówai	turn, twist, rotate, adjust (of knob or dial)	turn, twist, adjust, rotate		
TRUE	noun (animate)	ɲøɕ.ti	nnoxti	brother (male person who shares at least one parent)	brother		
TRUE	noun (inanimate)	ɲy	nnu	external ear, ear-flap	ear, external ear, ear-flap, flap		
TRUE	adjective	ɲyɬ.ci	nnuhlci	salty (one of five basic tastes)	salty, salt		
TRUE	noun (inanimate)	ɲy‍.‍ʎø	nnu‍‍llo	vine, rope-like plant stem	vine		
TRUE	verb (intransitive)	ɲy.tes	nnutes	(archaic) graze in a zigzag pattern (to fully harvest a valley or similar, or to slow the migration)	zigzag, graze		
TRUE	noun (inanimate)	ɲyː.mø̃ː	nnuumóo	carbon (element)	carbon		
TRUE	adjective	ɲyːɾ.pa	nnuurpa	easy, trivial, effortless; (of plant) all green, all edible, soft	easy, trivial, effortless, green, edible, soft		
TRUE	noun (inanimate)	ɲyːɕ	nnuux	root (chiefly thin, horizontal), tendril, mycelium	root, tendril, mycelium		
TRUE	verb (transitive)	ɲə̃	nný	make, craft, create, build (physically); (without agent) form, manifest, appear	make, craft, create, build, form, manifest, appear		
TRUE	noun (inanimate)	ɲə.cə	nnycy	pit, valley, crater, any concave formation of matter	pit, valley, crater, concave		
TRUE	noun (animate)	ɲə̃.lø̃ː	nnýlóo	actor, storyteller, entertainer	actor, storyteller, entertainer		
TRUE	adjective	ɲə̃.pel	nnýpel	loud, noisy, with intense sound	loud, noisy, sound, intense, volume		
TRUE	noun (inanimate)	ɲə̃.tə̃ɬ	nnýtýhl	utensil for grabbing food (these are highly personalised among Nomai and use a variety of form factors)	utensil, fork, spoon, knife, chopstick, chopsticks		
TRUE	noun (inanimate)	ɲə̃ɕ	nnýx	thorn, quill, spike	thorn, quill, spike		
TRUE	verb (transitive)	ɲə̃ɕ.tə̃	nnýxtý	trust, vouch for, consider good at deciding for others	trust, vouch		
TRUE	noun (inanimate)	ɲə̃ː.ɲãːɾ	nnýynnáar	a type of fragrant herb with small blue flowers; (name) Hyssop	hyssop	names, plants	
TRUE	noun (animate)	nø̃.bə̃	nóbý	mind, consciousness, brain function as contrasted with the body	mind, consciousness, brain function, psyche, soul		
TRUE	noun (animate)	nøl.tø̃	noltó	great-grandson	great-grandson, great grandson, grandson 		
TRUE	noun (animate)	nø.maj	nomai	Nomai (or one of their close relatives, extinct)	Nomai		
TRUE	noun (animate)	nøːɬ	noohl	update, follow-up, addendum, appendix (message or document that corrects or confirms something said earlier); (archaic) herd that migrates far behind another, consuming plants that the preceding herd sowed	update, follow-up, addendum, appendix		
TRUE	adjective	nø̃s	nós	hot, high-temperature	hot, high-temperature, temperature, heat		
TRUE	verb (intransitive)	nø̃.tã	nótá	struggle, strive, toil, make an effort (does not imply failure)	struggle, strive, toil, effort		
TRUE	verb (transitive)	ny	nu	lift, raise, pick up	lift, raise, pick up		
TRUE	verb (transitive)	ny.bẽː	nubée	appear in dream to, {experiencer} dream of {agent}	dream		
TRUE	noun (inanimate)	ny.cã	nucá	fibre, thread, strand	fibre, fiber, thread, strand		
TRUE	verb (transitive)	nyɬ.daw	nuhldau	agitate, stress, cause to worry	agitate, stress, worry		
TRUE	noun (inanimate)	nyɬ.lə	nuhlly	diagram, schematic, blueprint; a type of minimalist art (simplified or iconic visual creation)	diagram, schematic, blueprint, art, drawing, icon		
TRUE	adjective	nyj	nui	thick, extruded, bulky, solid-shaped	thick, extruded, bulky, solid		
TRUE	noun (inanimate)	nyl	nul	gravity funnel (literally 'lifter')	gravity, gravity funnel		
TRUE	noun (inanimate)	ny.my	numu	unit of time equal to 216 mbau (132 human minutes or 2 h 12 min)	hour		
TRUE	noun (inanimate)	ny.nø̃ɸ	nunóf	any of a family of yellow flowers; (name) Oeno	oeno	names, plants	
TRUE	noun (inanimate)	ny.ɾãj	nurái	a type of flower with large leaves that spiral up the stem; (name) Canna	canna	names, plants	
TRUE	noun (inanimate)	nyː	nuu	lung	lung		
TRUE	noun (inanimate)	nyː.ɕø̃	nuuxó	tower, lookout (chiefly standing on its own, rarely used of residential buildings)	tower, lookout		
TRUE	noun (inanimate)	nyː.ɕø̃ saɾ.ti.lə̃ɾ	nuuxó sartilýr	warp tower	warp tower		
TRUE	noun (inanimate)	nyː.ɕø̃j ɾa.dã.nyɾ əs.ha.ɕiɾ.cos.cẽ	nuuxói radánur yshaxircoscé	the Tower of Quantum Knowledge	Tower of Quantum Knowledge		
TRUE	noun (inanimate)	nwa	nwa	juice, sap; drink, beverage	juice, sap, drink, beverage		
TRUE	noun (inanimate)	nwe	nwe	(modern) flaw, bug, glitch, error, shortcoming	flaw, bug, glitch, error, shortcoming		
TRUE	interjection	nweː	nwee	greeting on sight or response to such, no wish for conversation; hi, I'm good	greeting, greetings, hi, hello		
TRUE	noun (inanimate)	nwiː	nwii	toy, trinket (broad concept, covering parts of 'game' and 'costume')	toy, trinket, game, costume		
TRUE	noun (inanimate)	nwiːl	nwiil	guess, unexplained assumption; (mild expletive) crap, shoot	guess, assumption, crap, shoot		
TRUE	verb (transitive)	nə̃	ný	connect, attach, join	connect, attach, join		
TRUE	noun (inanimate)	nə.cəs	nycys	any of a family of thin flowering plants; (name) Avens	avens	names, plants	
TRUE	adjective	nəɸ	nyf	medium-mass, average light/heavy	medium-mass, mass, light, heavy		
TRUE	adverb	nəɬ	nyhl	slowly, at low-speed	slowly, speed		
TRUE	verb (transitive)	nəl	nyl	refute, debunk, rule out	refute, debunk, rule out		
TRUE	noun (animate)	nə̃.mãː	nýmáa	project head, temporary leader or manager	project, head, leader, manager		
TRUE	noun (inanimate)	nə.nə̃	nyný	a specific narrative game, similar to tabletop RPGs, played on a hexagonal grid using structured debates to advance the story	tabletop, rpg, game		
TRUE	noun (inanimate)	nə.ɾiɾ	nyrir	lamp, light fixture	lamp, light fixture, light		
TRUE	noun (inanimate)	nəw	nyu	trampled dirt, packed dirt; central square, public space	trampled, dirt, packed, square, agora, public space		
TRUE	noun (inanimate)	nə̃ː	nýy	upper antler (looped on a Nomai)	upper antler, antler, horn		
TRUE	noun (inanimate)	nəː.tø̃	nyytó	rock, boulder (head-sized to several times person height, but in principle movable)	rock, boulder, stone		
TRUE	noun (inanimate)	nəː.tø̃.teɾ	Nyytoter	(place name) Blackrock (compound of nýyto 'boulder' + ter 'black')	Blackrock	placenames	
TRUE	verb (intransitive)	ø̃.ce	óce	become idle again, end a bout of focus, enter one's normal stimulus-reaction loop	idle, focus, calm		
TRUE	adjective	ø.də	ody	good, useful, suitable, quality	good, useful, suitable, quality		
TRUE	verb (transitive)	ø.fø	ofo	tie, twist up, tangle, knot, weave	tie, twist, twist up, tangle, knot, weave		
TRUE	verb (transitive)	ø̃.ɸɾø̃ː	ófróo	recreate, replicate, reproduce, verify, confirm	recreate, replicate, reproduce, verify, confirm		
TRUE	noun (animate)	ø.ɬyj	ohlui	grandfather (mother's father or father's father)	grandfather		
TRUE	verb (transitive)	øj.de	oide	understand, know well enough and deep enough to be able to regenerate the knowledge from first principles (experiencer is any information or source thereof)	understand		
TRUE	adjective	øj.nø	oino	free, loose, unrestrained	free, loose, unrestrained		
TRUE	verb (transitive)	ø.jyj	ojui	{experiencer} be empty of {agent}, {agent} be absent from {experiencer}	empty, absent, lack, without		
TRUE	noun (inanimate)	øl	ol	the phoneme /ø/ and the matching letter	/ø/, ø, o	letters	
TRUE	adjective	ø.ʎø.‍ba	ollo‍ba	hostile, malevolent	hostile, malevolent		
TRUE	noun (inanimate)	ø̃miɬ	ómihl	shadow; night, place where the planet blocks the sun	shadow, night		
TRUE	verb (intransitive)	ø.nda	onda	sleep, be in an unaware state, be dormant	sleep, unaware, dormant, unconscious, rest		
TRUE	noun (inanimate)	ø.nda.cãwɾ	ondacáur	bunkroom, dormitory, berthing	bunkroom, dorm, dormitory, berthing		
TRUE	verb (transitive)	ø̃.ɲẽw	ónnéu	find, locate	find, locate		
TRUE	verb (intransitive)	ø̃.nə̃ː	ónýy	sneak, creep, trespass, hide oneself	sneak, creep, trespass, hide		
TRUE	noun (inanimate)	ø̃ː.ɸyɾ	óofur	flag, banner, streamer, windsock, label or landmark made of coloured cloth (usually sewn so the wind will lift or inflate it)	flag, banner, streamer, windsock, kite		
TRUE	noun (inanimate)	ø̃ːʎ	óoll	the phoneme /ø̃/ and the matching letter	/ø̃/, ø̃, ó	letters	
TRUE	noun (inanimate)	øːs	oos	the phoneme /øː/ and the matching letter	/øː/, øː, oo	letters	
TRUE	noun (inanimate)	ø̃ːɕ	óox	the phoneme /ø̃ː/ and the matching letter	/ø̃ː/, ø̃ː, óo	letters	
TRUE	verb (transitive)	ø.pil	opil	value, prioritise, consider important	value, prioritise, appreciate, important, importance, priority		
TRUE	noun (inanimate)	ø.pi.løɕ	opilox	priority, note, highlight, that which is considered important	priority, note, highlight, important		
TRUE	noun (inanimate)	ø.ɾi	ori	(archaic) glaze, lacquer; (modern) layer, stratum; height, altitude; isosurface	glaze, lacquer, layer, stratum, height, altitude		
TRUE	interjection	ø.se.ja	oseja	goodnight; be well (said by or to someone going to sleep or dropping out of communication)	goodnight, good night		
TRUE	noun (inanimate)	ø.ʙø	ovo	flank fur, hip fur, coattail, longer hair that hangs over the lower limb	flank, fur, flank fur, hip, hip fur, coattail		
TRUE	verb (intransitive)	paː	paa	be hungry	hunger, hungry	body, sensations	
TRUE	noun (inanimate)	pãː.ni	páani	stream, river	stream, river		
TRUE	noun (inanimate)	paːɾ	paar	knife, utensil for peeling and chopping	knife, utensil		
TRUE	adjective	paːs	paas	specific, particular, certain; distinct, dedicated	specific, particular, certain, distinct, dedicated		
TRUE	noun (inanimate)	paː.sej	paasei	grove, forest, oasis, cluster of taller plants	grove, forest, oasis		
TRUE	verb (intransitive)	paːs.jəl	paasjyl	be airtight, be sealed, be structurally solid, have good hull integrity; be fortunate, benefit someone by random chance	airtight, tight, sealed, fortunate, fortune, lucky, luck		
TRUE	noun (inanimate)	paː.ti	paati	any of a family of widespread vines; (name) Foli	foli	names, plants	
TRUE	noun (inanimate)	pa.ba	paba	magnet, permanent magnet	magnet	science	
TRUE	verb (transitive)	pã.biː	pábii	shelve, store, put away; (experiencer is abstract concept) promise, commit to	shelve, store, put away, promise		
TRUE	verb (transitive)	pã.hãː	páháa	mark down, write a document about, share non-real-time information about (absolutive is topic)	mark, mark down, write, write down, document		
TRUE	noun (inanimate)	pa.hẽː	pahée	sprout, sapling, seedling; prototype, precursor, work in progress; darling, sweetie	sprout, sapling, seedling, prototype, precursor, darling, sweetie		
TRUE	noun (inanimate)	pa.ɬ‍a	pahl‍a	task, quest, mission	task, quest, mission		
TRUE	verb (intransitive)	pajɸ	paif	shake, vibrate, oscillate	shake, vibrate, oscillate		
TRUE	adjective	paj.hy	paihu	transparent, glassy, see-through	transparent, glassy, seethrough, see-through		
TRUE	noun (inanimate)	pa.lẽːɕ	paléex	bag, sack, pouch (short distance carrying device)	bag, sack, pouch		
TRUE	verb (transitive)	pa.li	pali	clear, remove contents of, erase, smooth	clear, remove, erase, smooth		
TRUE	verb (intransitive)	paʎ	pall	suffice, work, be enough, suit, fit	suffice, work, enough, be enough, suit, fit		
TRUE	noun (inanimate)	pa.ma	pama	cloak, veil, cape (pre-spaceflight piece of clothing used in cold or dusty regions)	cloak, veil, cape		
TRUE	noun (inanimate)	pa.ma.cẽs.daɾ	Pamacésdar	(place name) Giant's Deep (compound of pama 'veil, cloak' + césdar 'spark, flash')	Giant's Deep	placenames	
TRUE	noun (inanimate)	pa.ɲceɸ	pancef	precarious, flimsy, or ill-fitting solution, hack, cheese	precarious, flimsy, ill-fitting, hack, cheese		
TRUE	verb (transitive)	pa.ɾø̃l	paról	hook, latch, plop in, place into uniquely defined self-correcting pose in holder or containment	hook, latch, plop, place, holder, containment, into		
TRUE	verb (transitive)	pas	pas	ruminate, chew the cud; think for the second time, think through (experiencer is person, agent is material)	ruminate, chew, reconsider, think through		
TRUE	verb (intransitive)	pãw	páu	behave, act, exhibit tendencies, follow some pattern; exist	behave, act, tendency, tendencies, pattern, exist		
TRUE	verb (transitive)	pawɸ	pauf	repeat, iterate, loop (method or procedure); quote, cite (person or message)	repeat, iterate, loop, quote, cite		
TRUE	verb (transitive)	pawɾ	paur	change, affect, alter, modify	change, affect, alter, modify		
TRUE	verb (transitive)	pã.wa.jy	páwaju	smooth, flatten, polish	smooth, flatten, polish		
TRUE	pronoun	pe	pe	they, that one (only occurs in relative clauses with an animate head-noun, refers back to the head, doesn't mark for specificity or number)	they, them, untranslatable		
TRUE	verb (intransitive)	pẽ	pé	jump, lunge, dash; play, frolic; embark, go aboard; connect, log in (to virtual world or similar)	jump, lunge, dash, play, frolic, embark, log in, connect		
TRUE	noun (inanimate)	pẽ.cẽ	pécé	(rotating) joint	joint		
TRUE	noun (inanimate)	pẽ.ɸãl	péfál	particle, sizeless object	particle		
TRUE	pronoun	pej	pei	they, the people or animals the narrative is about (three or more), 3P.PROX, third-person proximate plural pronoun	they, them		
TRUE	verb (transitive)	pel	pel	limit, constrain, bound, make finite	limit, constrain, bound, finite		
TRUE	noun (inanimate)	peɾ	per	day-cycle, one rotation of the planet (or spaceship light conditions), equivalent to a 24 hour day on Earth	day, daylight cycle		
TRUE	adjective	peɕ.ɾø̃ː	pexróo	(ancient) not part of a herd; (modern) unconnected, individual, chaotic; gaseous (in phase); silly, scatterbrained	gaseous, individual, chaotic, silly, scatterbrained		
TRUE	noun (inanimate)	pi	pi	the phoneme /p/ and the matching letter	/p/, p	letters	
TRUE	verb (transitive)	pi.ce	pice	find out, work out, figure out, learn, calculate, come to know (chiefly by non-immediate calculation)	learn, calculate, find out, work out		
TRUE	noun (inanimate)	pi.ce.høɕ	picehox	answer, solution, that which is calculated or learned	answer, solution		
TRUE	verb (intransitive)	pi.cy.my	picumu	commit mischief, eavesdrop, trick, prank	mischief, eavesdrop, trick, prank		
TRUE	noun (animate)	piː	pii	method, manner, approach; (archaic) huddle, row, arrangement of Nomai standing shoulder to shoulder	method, manner, approach, huddle, row		
TRUE	noun (inanimate)	piːl	piil	torch, lantern, flashlight	torch, lantern, flashlight		
TRUE	noun (inanimate)	piː.ʙyː	piivuu	fire, controlled burn, incineration; campfire	fire, campfire		
TRUE	noun (inanimate)	pi.ja	pija	game, sport (typically focused on moving the body according to a ruleset)	game, sport		
TRUE	verb (transitive)	pil.dy	pildu	{experiencer} occur, manifest as trait, have influence; {agent} have, exemplify, be characterised by {experiencer}	occur, happen, have, characterise, characterize		
TRUE	noun (inanimate)	pil.dy.høɕ	pilduhox	trait, property, characteristic	trait, property, characteristic		
TRUE	verb (transitive)	piɾ	pir	escape, evade, flee from; (of action) avoid, beware, know better than to	escape, evade, flee, run		
TRUE	pronoun	pi.ɾəː	piryy	this (thing, being, or situation close to or mentioned by speaker)	this		
TRUE	verb (intransitive)	pi.wi	piwi	quarrel, argue, conflict, clash	quarrel, argue, conflict	social	
TRUE	verb (transitive)	pjaɾ	pjar	soak in, steep with, {agent} stay with {experiencer} and slowly affect it	soak, steep, affect, influence		
TRUE	noun (inanimate)	pje	pje	spot, dot, blob, shape defined by an origin point and a small number of radii	spot, dot, blob		
TRUE	noun (inanimate)	pjẽw	pjéu	mirage, illusion, false vision; artifact of sensor or encoding	mirage, illusion, artifact, glitch		
TRUE	verb (intransitive)	pjøj	pjoi	be (somewhere) in an unstable way, be passing through; hang, cling, balance	be, pass, hang, cling, balance		
TRUE	noun (inanimate)	pjy	pju	hand, prehensile hoof; toolhead, active end or part; cursor, working directory	hand, toolhead, cursor		
TRUE	verb (transitive)	pø̃	pó	forget, not apply knowledge of	forget		
TRUE	conjunction (clause)	pøj	poi	and then later	then, later, and		
TRUE	noun (inanimate)	pø̃j	pói	hammer, mallet, cudgel, blunt force tool	hammer, mallet, cudgel		
TRUE	adjective	pø.lə̃	polý	tired, fatigued, exhausted, worn	tired, fatigued, exhausted, worn		
TRUE	adjective	pø.ma	poma	heavy, weighty	heavy		
TRUE	adjective	pø̃‍.‍naː‍	pó‍‍naa‍	damp, moist, humid, containing residual water	damp, moist, humid		
TRUE	noun (inanimate)	pø̃.sø̃ː	pósóo	oil (food term, prototype: squeezed from seeds)	oil, fat		
TRUE	noun (inanimate)	pø.ʙaɕ	povax	gravity (related to poma 'heavy')	gravity		
TRUE	verb (transitive)	pɾa	pra	lick, scrape with the tongue (usually of soft plant matter)	lick		
TRUE	adverb	pɾaː	praa	really, truly, indeed (general purpose intensifier for confidence of belief)	really, truly, indeed, intensifier		
TRUE	verb (intransitive)	pɾãːw	práau	explode, violently self-destruct	explode		
TRUE	noun (inanimate)	pɾã.lø̃j	prálói	spiral, turning furrow or path; line of text; message, turn of a conversation	spiral, turn, message, line		
TRUE	noun (inanimate)	pɾa.paɬ	prapahl	toilet, hygiene room (on early Vessels only space with water disposal, nowadays automated body cleaner)	toilet, hygiene		
TRUE	verb (intransitive)	pɾaɕ	prax	stand, be static in a neutral posture	stand		
TRUE	noun (inanimate)	pɾẽɕ.da	préxda	any of a family of bushes and small trees whose leaves get spiky as they regrow, analogous to holly; (name) Ilex	ilex	names, plants	
TRUE	adverb	pɾiːl	priil	usually, typically, in the most common case	usually, typically		
TRUE	noun (inanimate)	pɾə	pry	scar, old wound	scar		
TRUE	noun (inanimate)	psaː‍l	psaa‍l	(archaic) storeroom, vault, museum, place to store non-portable creations; (modern) home, dwelling	home, dwelling		
TRUE	numeral	psiː	psii	216 (6^3, connective form)	216		
TRUE	adjective	psi.maːs	psimaas	cubic, cube-shaped	cube, cubic		
TRUE	numeral	psiɾ	psir	216 (6^3)	216, 6^3		
TRUE	verb (transitive)	psø.ʙe	psove	embarrass, shame, make feel socially punished	embarrass, shame		
